[0, X, 2, 1, 1, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 1, 2, 1, X, 1, 2, 2, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 2, X, 1, 2, 2, 1, X, 1, 2, 2, 1, 2, 1]
[1, 2, 1, 2, 1, 1, 1, 1, 2, X, 1, 0, 1, 1, X, 1, 1, 1, 1, 1, 2, X, 2, 2, 1, 1, 1, 2, 2, 2, X, 1, 2, 2, X, 2, 1, X, 1, 1, 1, 2, 2, 2, 2, X, 1, X, X, 2]
[2, 2, 1, 2, X, 1, 2, 1, 2, 2, 2, 1, 0, 1, 2, 2, 2, 2, 2, 2, 1, 2, X, 2, 1, 2, 2, X, X, 2, 2, 1, X, 2, X, 1, X, 2, 1, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2]
[2, 1, 1, 2, 2, 2, 1, 1, 1, 2, 2, 1, 1, 0, 2, 2, 1, 1, X, X, 1, 2, 1, 2, 1, 1, 2, 2, 1, 1, X, 2, 2, 1, 2, 2, 1, 1, X, 1, X, X, 1, 2, 1, 1, X, 2, 2, 1]
[2, 1, 2, 1, 2, 1, 2, 2, 1, 1, 1, X, 2, 2, 0, 2, 2, 1, 2, 2, 2, X, 1, 1, X, 1, X, 2, 2, X, 2, 1, X, 2, 2, 2, 1, X, 1, 1, X, 1, 1, 2, 1, X, 1, 1, 1, 1]
[2, 1, 1, 1, 2, 1, 1, 1, 1, 1, 2, 1, 2, 2, 2, 0, 2, 2, 1, X, 2, 1, 2, 1, 1, 2, 2, X, 1, X, X, 1, 1, 1, 2, 2, 1, 1, 2, 1, 1, 1, 1, X, 1, 1, 1, 2, 2, 1]
[2, 1, X, 1, 1, 1, 2, 1, X, 1, X, 1, 2, 1, 2, 2, 0, 2, 1, X, 1, 2, X, 1, 1, X, 1, X, 1, X, 2, 2, 2, 1, 1, 2, 1, 2, 2, X, 1, X, 2, 2, X, X, 2, X, 2, 1]
[1, 1, 2, 1, X, 2, 2, X, 1, 1, 2, 1, 2, 1, 1, 2, 2, 0, 2, 2, 1, 1, 2, 2, X, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1, 2, 2, 1, 1, 1, 2, 1, X, 2, 1, 2, 1, 2, 1, 2]
[2, 1, 2, 2, 1, 2, 1, 1, 1, 1, 2, 1, 2, X, 2, 1, 1, 2, 0, 1, X, 2, 1, 1, 1, 2, 2, 2, 2, 2, X, 2, 1, X, 1, 1, 1, 1, 1, X, 1, 1, 1, X, 2, 1, 1, 1, 2, 1]
[1, X, 2, 2, 1, 1, 2, 1, 1, 2, 2, 1, 2, X, 2, X, X, 2, 1, 0, 1, 2, 2, 1, 1, 1, 1, 1, 1, 2, X, X, X, 2, 1, 1, 2, 2, X, X, 1, 2, X, X, 2, 1, 1, 1, 2, 2]
[2, 1, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 2, 1, 1, X, 1, 0, X, 1, 2, 2, 2, 2, 1, 1, 2, 1, 1, 2, X, 1, X, 1, 2, X, 1, 2, 2, 2, 2, X, 2, 2, 2, 2, X]
[1, X, 2, 1, 1, 1, 2, 2, 2, 2, 2, X, 2, 2, X, 1, 2, 1, 2, 2, X, 0, 1, X, 1, 1, 2, 1, 1, 1, 2, 1, X, 2, 1, 2, X, 2, 2, 2, 1, 1, 1, 2, 2, 2, 1, X, X, 2]
[X, 2, 2, 1, X, 2, 1, X, X, 2, 1, 2, X, 1, 1, 2, X, 2, 1, 2, 1, 1, 0, 2, 1, X, 2, X, 2, 1, 2, 1, 2, X, 2, 2, 2, X, 1, 2, 1, 1, 1, 2, 2, 1, 1, 2, X, 1]
[1, 2, 2, 1, 1, 1, 1, 2, 2, 1, X, 2, 2, 2, 1, 1, 1, 2, 1, 1, 2, X, 2, 0, 1, 1, 1, 2, 1, 2, 2, X, 2, 2, 1, 2, 2, 1, 1, 2, X, 2, 2, 2, 2, X, 2, 2, 2, 2]
[2, 1, 1, 1, X, X, X, X, 1, 1, 2, 1, 1, 1, X, 1, 1, X, 1, 1, 2, 1, 1, 1, 0, X, X, 1, 1, 1, 1, X, 2, X, 1, 1, X, 1, 2, 2, 2, 1, X, 1, 2, X, 2, 1, 2, X]
[2, 2, 1, 1, 1, 1, 1, 1, X, X, 2, 1, 2, 1, 1, 2, X, 1, 2, 1, 2, 1, X, 1, X, 0, X, 2, 2, 1, X, 1, 1, 2, X, X, 1, 2, 2, 1, 1, 1, X, 2, 2, 2, X, 1, 1, X]
[1, 2, 2, 2, 2, 2, 1, 2, X, 2, 2, 1, 2, 2, X, 2, 1, 1, 2, 1, 2, 2, 2, 1, X, X, 0, X, 2, 1, X, X, 1, 2, 2, 1, 1, 1, X, 2, 1, 2, 2, 1, 2, 2, 1, 2, 1, 2]
[2, 1, 1, 1, X, 1, X, 2, 1, 1, 2, 2, X, 2, 2, X, X, 1, 2, 1, 1, 1, X, 2, 1, 2, X, 0, 1, 2, 1, 2, 2, 2, 2, X, 1, 2, X, X, 2, X, 2, 1, 2, 2, X, 2, X, 2]
[1, 2, 1, 2, 1, 1, 2, 2, 1, 2, 2, 2, X, 1, 2, 1, 1, 2, 2, 1, 1, 1, 2, 1, 1, 2, 2, 1, 0, X, 2, 2, 2, 2, 1, 2, 2, 2, 1, 1, 2, 2, 1, X, 2, 1, X, 1, 2, 2]
[2, 2, 2, 2, 1, 1, 2, 1, 1, 1, 1, 2, 2, 1, X, X, X, 1, 2, 2, 2, 1, 1, 2, 1, 1, 1, 2, X, 0, 2, 2, 2, 2, 2, 2, 1, 2, 1, 1, 2, 2, 2, X, 2, 1, 1, 1, 1, 2]
[1, X, X, 1, 1, 1, 1, X, 2, X, 2, X, 2, X, 2, X, 2, 2, X, X, 1, 2, 2, 2, 1, X, X, 1, 2, 2, 0, 2, X, 2, 2, X, 2, 1, X, 1, X, 1, 1, 1, 1, X, 1, 1, 2, 2]
[1, 1, 1, 2, X, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 2, 1, 2, X, 1, 1, 1, X, X, 1, X, 2, 2, 2, 2, 0, X, 2, X, 1, 2, 1, 1, X, 2, X, 2, 1, X, 1, 1, 1, 2, X]
[1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, X, 2, X, 1, 2, 2, 1, X, 2, X, 2, 2, 2, 1, 1, 2, 2, 2, X, X, 0, 1, 2, 2, 1, X, 2, 1, X, 1, 1, 1, 2, 1, 1, 2, X, 2]
[1, 1, 2, 1, 1, 1, 1, 2, 1, 1, X, 2, 2, 1, 2, 1, 1, 2, X, 2, X, 2, X, 2, X, 2, 2, 2, 2, 2, 2, 2, 1, 0, 2, 2, 1, 1, X, 2, 1, X, 1, 1, 2, 2, 1, 2, 2, 2]
[1, 2, X, X, 2, X, 1, 1, X, 2, X, X, X, 2, 2, 2, 1, 1, 1, 1, 1, 1, 2, 1, 1, X, 2, 2, 1, 2, 2, X, 2, 2, 0, 2, X, 1, X, X, X, 1, 1, 2, 1, 1, 2, 2, 2, 1]
[1, 2, 2, 2, 2, 2, 2, 1, X, X, 1, 2, 1, 2, 2, 2, 2, 2, 1, 1, X, 2, 2, 2, 1, X, 1, X, 2, 2, X, 1, 2, 2, 2, 0, 2, 1, 2, 1, X, X, 2, 1, 2, 2, 2, 1, 1, 1]
[1, 2, 1, 2, 2, 1, 1, X, 1, 1, X, 1, X, 1, 1, 1, 1, 2, 1, 2, 1, X, 2, 2, X, 1, 1, 1, 2, 1, 2, 2, 1, 1, X, 2, 0, 2, 1, 2, 1, 2, X, 1, X, 1, 1, 2, 1, 2]
[2, 2, X, 1, 1, 2, X, 2, 2, 1, X, X, 2, 1, X, 1, 2, 1, 1, 2, 2, 2, X, 1, 1, 2, 1, 2, 2, 2, 1, 1, X, 1, 1, 1, 2, 0, 1, 2, 2, 2, 2, 2, 2, 1, 2, 2, 1, 1]
[X, X, 1, X, 1, 1, 2, 1, 1, 2, 2, 1, 1, X, 1, 2, 2, 1, 1, X, X, 2, 1, 1, 2, 2, X, X, 1, 1, X, 1, 2, X, X, 2, 1, 1, 0, X, 2, 2, 1, 2, 2, 1, 2, 2, 2, 2]
[1, 2, 2, 1, 2, 1, 1, X, 2, 2, 1, 1, 2, 1, 1, 1, X, 1, X, X, 1, 2, 2, 2, 2, 1, 2, X, 1, 1, 1, X, 1, 2, X, 1, 2, 2, X, 0, 1, X, 1, 1, 2, 1, 1, 1, 2, 1]
[2, 1, X, X, 1, 1, 2, X, 2, X, 1, 1, 2, X, X, 1, 1, 2, 1, 1, 2, 1, 1, X, 2, 1, 1, 2, 2, 2, X, 2, X, 1, X, X, 1, 2, 2, 1, 0, 2, X, 1, 2, X, 1, X, 2, 1]
[2, 2, 2, 2, 1, X, 2, 1, 2, 2, X, 2, 2, X, 1, 1, X, 1, 1, 2, 2, 1, 1, 2, 1, 1, 2, X, 2, 2, 1, X, 1, X, 1, X, 2, 2, 2, X, 2, 0, 2, 2, 2, 1, 1, 2, 2, 1]
[1, 2, 2, 2, 1, 1, 1, 1, 2, 1, 2, 2, 2, 1, 1, 1, 2, X, 1, X, 2, 1, 1, 2, X, X, 2, 2, 1, 2, 1, 2, 1, 1, 1, 2, X, 2, 1, 1, X, 2, 0, 1, 2, 1, X, X, 1, 2]
[X, 2, X, 1, X, 2, X, 2, 2, X, 2, 2, 2, 2, 2, X, 2, 2, X, X, 2, 2, 2, 2, 1, 2, 1, 1, X, X, 1, 1, 1, 1, 2, 1, 1, 2, 2, 1, 1, 2, 1, 0, 2, X, 1, 2, 1, 2]
[1, 1, X, 2, 1, X, 2, 1, X, 2, X, 2, 1, 1, 1, 1, X, 1, 2, 2, X, 2, 2, 2, 2, 2, 2, 2, 2, 2, 1, X, 2, 2, 1, 2, X, 2, 2, 2, 2, 2, 2, 2, 0, 1, 1, 2, 1, 1]
[2, X, 2, 2, 1, 2, 1, 1, 2, 1, X, X, 2, 1, X, 1, X, 2, 1, 1, 2, 2, 1, X, X, 2, 2, 2, 1, 1, X, 1, 1, 2, 1, 2, 1, 1, 1, 1, X, 1, 1, X, 1, 0, 1, 1, X, 1]
[2, 2, 1, X, 2, 2, 1, 2, X, 2, 1, 1, 1, X, 1, 1, 2, 1, 1, 1, 2, 1, 1, 2, 2, X, 1, X, X, 1, 1, 1, 1, 1, 2, 2, 1, 2, 2, 1, 1, 1, X, 1, 1, 1, 0, 2, 1, 1]
[1, 1, X, 2, 1, 2, 2, 2, X, 1, 2, X, 1, 2, 1, 2, X, 2, 1, 1, 2, X, 2, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 2, 2, 1, 2, 2, 2, 1, X, 2, X, 2, 2, 1, 2, 0, X, X]
[2, 1, 1, 2, X, 1, 1, 1, 2, 1, X, X, 2, 2, 1, 2, 2, 1, 2, 2, 2, X, X, 2, 2, 1, 1, X, 2, 1, 2, 2, X, 2, 2, 1, 1, 1, 2, 2, 2, 2, 1, 1, 1, X, 1, X, 0, X]
[1, 2, 1, X, 2, 2, 2, 1, 2, 1, 1, 2, 2, 1, 1, 1, 1, 2, 1, 2, X, 2, 1, 2, X, X, 2, 2, 2, 2, 2, X, 2, 2, 1, 1, 2, 1, 2, 1, 1, 1, 2, 2, 1, 1, 1, X, X, 0]
